Taxon,c11,c13,c19,c2,c20,c21,c24,c25,c26,c27,c28,c29,c3,c30,c31,c32,c33,c34,c36,c4,c40,c47,c49,c5,c50,c6,c7,c8,c9,E1,E3,E4,E5,E6,H1,H3,H4,H5,H7,Kp1,Kp2,M9,S14,S15,S21,S22,S23,S25,S26,S29,S32,S34,S47,S48,S79,ST1,ST2,ST22,ST4,ST6,ST64,ST7,ST8;;;;;;;;;;;
Lelliottia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844639636106972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028499122227035,0.0,0.0,0.0130971993410214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Mesorhizobium,0.000142920250500221,4.1343669250646e-05,4.50511330359959e-05,7.0876745339854e-05,0.0,0.0,5.90958337437211e-05,0.0001143069427179,0.0,0.0,0.0,0.0001192748091603,0.0,0.0,0.0,0.0,0.0001049097775912,0.0001045850066934,0.0,0.0,0.0001367957866897,0.0,4.04007756948933e-05,0.0,0.0,5.60203167015238e-05,0.0,0.0001650914193734,0.0,0.0,0.0,4.8448047543684e-05,0.0,0.0,0.0,0.0,0.0,6.41519117269695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46840835294468e-05,0.0,3.89352506781223e-05,3.18228105906314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70495171563592e-05,0.0,0.0,0;;;;;;;;;;;
Bordetella,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.060116354234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Alcaligenes,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001294529414585,0.0759392333644664,0.0086320048178631,0.0,5.22834810341673e-05,0.0981673368388494,0.0005618819298771,0.0,0.0010490977759127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Enterobacter,0.488423459709482,0.121860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167646981936057,0.542820136096505,0.0,0.0,0.0,0.0,0.192645088206446,0.642784468684192,0.333576525843004,0.0,0.0435318358112476,0.0945222405271829,0.0,0.545899312817449,0.0239193783389995,0.240847744438483,0.0277435749652878,0.0,7.09300346138569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01419015814756e-05,0.0,0.0,0.0,0.0,7.7857365306758e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289419392867,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Actinoplanes,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91401029037791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Lactococcus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00851409488853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Acidovorax,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001568504431025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Hyphomicrobium,0,0,0.0,0.0,0.0,0.0,3.9397222495814e-05,0.0,0.0,0.0,0.0,3.40785169029444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23957978570119e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Micrococcus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353261850608325,0.0,0;;;;;;;;;;;
